	Shamrep1	Shamrep2	Shamrep3	ShamM1	ShamM2	MCAOrep1	MCAOrep2	MCAOrep3	MCAOrep4	MCAOrep5	D1M1	D1M2
1500009L16Rik	13.325252525252505	13.3252525252525	13.325252525252512	13.32525252525258	13.325252525252584	14.372294372294375	14.372294372294366	14.372294372294363	14.372294372294366	14.37229437229438	14.37229437229432	14.372294372294409
1500012F01Rik	23.743434343434348	23.743434343434348	23.743434343434345	23.74343434343431	23.743434343434316	16.471861471861462	16.471861471861477	16.471861471861466	16.47186147186146	16.471861471861473	16.471861471861494	16.471861471861498
1500015O10Rik	12.278787878787874	12.278787878787874	12.278787878787844	12.278787878787867	12.278787878787861	7.867243867243879	7.8672438672439	7.867243867243841	7.867243867243875	7.867243867243869	7.867243867243857	7.867243867243833
1600002H07Rik	22.929292929292913	22.92929292929291	22.92929292929292	22.929292929292966	22.929292929292963	23.597402597402592	23.597402597402585	23.59740259740259	23.597402597402592	23.5974025974026	23.59740259740256	23.597402597402606
1600002K03Rik	25.054545454545448	25.054545454545448	25.05454545454545	25.05454545454546	25.054545454545455	24.92640692640692	24.92640692640692	24.92640692640692	24.92640692640692	24.92640692640692	24.926406926406912	24.926406926406923
1600012H06Rik	21.535353535353522	21.535353535353515	21.53535353535353	21.535353535353586	21.53535353535359	22.489177489177493	22.489177489177482	22.489177489177486	22.48917748917749	22.4891774891775	22.489177489177443	22.489177489177496
1600014C10Rik	17.935353535353485	17.935353535353475	17.9353535353535	17.935353535353666	17.93535353535365	20.678210678210682	20.678210678210668	20.678210678210668	20.678210678210682	20.6782106782107	20.67821067821054	20.678210678210707
1600016N20Rik	14.220202020201999	14.22020202020199	14.22020202020201	14.220202020202082	14.220202020202091	12.702741702741703	12.702741702741692	12.70274170274169	12.702741702741697	12.702741702741713	12.702741702741644	12.702741702741738
1700001C19Rik	14.365656565656534	14.36565656565653	14.365656565656543	14.36565656565666	14.365656565656643	12.940836940836949	12.940836940836931	12.94083694083694	12.940836940836954	12.94083694083696	12.940836940836846	12.940836940836972
1700001K19Rik	12.23030303030304	12.230303030303034	12.23030303030303	12.230303030302984	12.230303030303034	9.813852813852815	9.813852813852822	9.813852813852785	9.813852813852808	9.813852813852815	9.813852813852838	9.813852813852815
1700001O22Rik	13.684848484848462	13.684848484848454	13.684848484848468	13.684848484848551	13.684848484848569	14.8989898989899	14.89898989898989	14.89898989898988	14.898989898989898	14.898989898989916	14.89898989898984	14.898989898989925
1700003E16Rik	9.311111111111131	9.311111111111138	9.311111111111126	9.31111111111105	9.311111111111055	7.6060606060606	7.60606060606061	7.60606060606061	7.606060606060591	7.6060606060605895	7.606060606060678	7.606060606060577
1700003F12Rik	20.634343434343396	20.63434343434339	20.63434343434341	20.634343434343535	20.634343434343524	21.330447330447342	21.330447330447324	21.330447330447328	21.330447330447335	21.330447330447353	21.33044733044722	21.33044733044737
1700008O03Rik	11.555555555555546	11.555555555555541	11.555555555555548	11.555555555555571	11.555555555555596	10.272727272727279	10.272727272727272	10.272727272727252	10.272727272727264	10.272727272727272	10.272727272727261	10.272727272727288
1700009P17Rik	20.979797979797972	20.979797979797965	20.979797979797976	20.979797979798008	20.979797979798022	19.418470418470413	19.418470418470406	19.418470418470406	19.41847041847042	19.41847041847043	19.418470418470378	19.41847041847044
1700010I14Rik	24.139393939393926	24.139393939393923	24.13939393939393	24.139393939393962	24.139393939393948	21.806637806637806	21.806637806637806	21.806637806637806	21.8066378066378	21.8066378066378	21.806637806637774	21.80663780663781
